,State,County,City,Name,search_term
80,GA,Fulton,Atlanta,Perkerson,"Perkerson, Atlanta"
81,GA,Fulton,Atlanta,Swallow Circle - Baywood,"Swallow Circle - Baywood, Atlanta"
82,GA,Fulton,Atlanta,Southwest,"Southwest, Atlanta"
83,GA,Fulton,Atlanta,Springlake,"Springlake, Atlanta"
84,GA,Fulton,Atlanta,Venetian Hills,"Venetian Hills, Atlanta"
85,GA,Fulton,Atlanta,Mt. Paran - Northside,"Mt. Paran - Northside, Atlanta"
86,GA,Fulton,Atlanta,Carey Park,"Carey Park, Atlanta"
87,GA,Fulton,Atlanta,Brookwood,"Brookwood, Atlanta"
88,GA,Fulton,Atlanta,Brookhaven,"Brookhaven, Atlanta"
89,GA,Fulton,Atlanta,Ben Hill,"Ben Hill, Atlanta"
90,GA,Fulton,Atlanta,Woodland Hills,"Woodland Hills, Atlanta"
91,GA,Fulton,Atlanta,Thomasville Heights,"Thomasville Heights, Atlanta"
92,GA,Fulton,Atlanta,Pleasant Hill,"Pleasant Hill, Atlanta"
93,GA,Fulton,Atlanta,Dixie Hills,"Dixie Hills, Atlanta"
94,GA,Fulton,Atlanta,Center Hill,"Center Hill, Atlanta"
95,GA,Fulton,Atlanta,Ansley Park,"Ansley Park, Atlanta"
96,GA,Fulton,Atlanta,Kings Forest,"Kings Forest, Atlanta"
97,GA,Fulton,Atlanta,Carroll Heights,"Carroll Heights, Atlanta"
98,GA,Fulton,Atlanta,Chastain Park,"Chastain Park, Atlanta"
99,GA,Fulton,Atlanta,Collier Heights,"Collier Heights, Atlanta"
100,GA,Fulton,Atlanta,Englewood Manor,"Englewood Manor, Atlanta"
101,GA,Fulton,Atlanta,Florida Heights,"Florida Heights, Atlanta"
102,GA,Fulton,Atlanta,Garden Hills,"Garden Hills, Atlanta"
103,GA,Fulton,Atlanta,Grant Park,"Grant Park, Atlanta"
104,GA,Fulton,Atlanta,Greenbriar,"Greenbriar, Atlanta"
105,GA,Fulton,Atlanta,Harris Chiles,"Harris Chiles, Atlanta"
106,GA,Fulton,Atlanta,Just Us,"Just Us, Atlanta"
107,GA,Fulton,Atlanta,Leila Valley,"Leila Valley, Atlanta"
108,GA,Fulton,Atlanta,Magnum Manor,"Magnum Manor, Atlanta"
109,GA,Fulton,Atlanta,Memorial Park,"Memorial Park, Atlanta"
110,GA,Fulton,Atlanta,Monroe Heights,"Monroe Heights, Atlanta"
111,GA,Fulton,Atlanta,Niskey Lake,"Niskey Lake, Atlanta"
112,GA,Fulton,Atlanta,North Buckhead,"North Buckhead, Atlanta"
113,GA,Fulton,Atlanta,Peachtree Heights East,"Peachtree Heights East, Atlanta"
114,GA,Fulton,Atlanta,Peachtree Hills,"Peachtree Hills, Atlanta"
115,GA,Fulton,Atlanta,Peyton Forest,"Peyton Forest, Atlanta"
116,GA,Fulton,Atlanta,Pittsburgh,"Pittsburgh, Atlanta"
117,GA,Fulton,Atlanta,Ridgedale Park,"Ridgedale Park, Atlanta"
118,GA,Fulton,Atlanta,South Atlanta,"South Atlanta, Atlanta"
119,GA,Fulton,Atlanta,South Tuxedo Park,"South Tuxedo Park, Atlanta"
120,GA,Fulton,Atlanta,Summerhill,"Summerhill, Atlanta"
121,GA,Fulton,Atlanta,Westwood Terrace,"Westwood Terrace, Atlanta"
122,GA,Fulton,Atlanta,Whitewater Creek,"Whitewater Creek, Atlanta"
123,GA,Fulton,Atlanta,Inman Park,"Inman Park, Atlanta"
124,GA,Fulton,Atlanta,Mechanicsville,"Mechanicsville, Atlanta"
125,GA,Fulton,Atlanta,Sandtown-Southeastern Atlanta,"Sandtown-Southeastern Atlanta, Atlanta"
126,GA,Fulton,Atlanta,Sweet Auburn,"Sweet Auburn, Atlanta"
127,GA,Fulton,Atlanta,South River Gardens,"South River Gardens, Atlanta"
128,GA,Fulton,Atlanta,Benteen Park,"Benteen Park, Atlanta"
129,GA,Fulton,Atlanta,Cluster - McDonough - Guice,"Cluster - McDonough - Guice, Atlanta"
130,GA,Cobb,Atlanta,Bolton,"Bolton, Atlanta"
131,GA,Fulton,Atlanta,Collier Hills,"Collier Hills, Atlanta"
132,GA,Fulton,Atlanta,Wesley Battle,"Wesley Battle, Atlanta"
133,GA,Fulton,Atlanta,Westminster - Milmar,"Westminster - Milmar, Atlanta"
134,GA,Fulton,Atlanta,Peachtree Battle Alliance,"Peachtree Battle Alliance, Atlanta"
135,GA,Fulton,Atlanta,Capitol View,"Capitol View, Atlanta"
136,GA,Dekalb,Atlanta,East Lake,"East Lake, Atlanta"
137,GA,Dekalb,Atlanta,Kirkwood,"Kirkwood, Atlanta"
138,GA,Fulton,Atlanta,Whittier Mill Village,"Whittier Mill Village, Atlanta"
139,GA,Fulton,Atlanta,West Highlands,"West Highlands, Atlanta"
140,GA,Fulton,Atlanta,Old Gordon,"Old Gordon, Atlanta"
141,GA,Fulton,Atlanta,Wildwood,"Wildwood, Atlanta"
142,GA,Fulton,Atlanta,Green Forest Acres,"Green Forest Acres, Atlanta"
143,GA,Fulton,Atlanta,Ashley Courts,"Ashley Courts, Atlanta"
144,GA,Fulton,Atlanta,Cascade Green,"Cascade Green, Atlanta"
145,GA,Fulton,Atlanta,Niskey Cove,"Niskey Cove, Atlanta"
146,GA,Fulton,Atlanta,West View,"West View, Atlanta"
147,GA,Fulton,Atlanta,Kingswood,"Kingswood, Atlanta"
148,GA,Fulton,Atlanta,Argonne Forest,"Argonne Forest, Atlanta"
149,GA,Fulton,Atlanta,Arlington Estates,"Arlington Estates, Atlanta"
150,GA,Fulton,Atlanta,Ashview Heights,"Ashview Heights, Atlanta"
151,GA,Fulton,Atlanta,Beecher Hills,"Beecher Hills, Atlanta"
152,GA,Fulton,Atlanta,Ben Hill Acres,"Ben Hill Acres, Atlanta"
153,GA,Fulton,Atlanta,Browns Mill Park,"Browns Mill Park, Atlanta"
154,GA,Fulton,Atlanta,Buckhead Forest,"Buckhead Forest, Atlanta"
155,GA,Fulton,Atlanta,Buckhead Village,"Buckhead Village, Atlanta"
156,GA,Fulton,Atlanta,Bush Mountain,"Bush Mountain, Atlanta"
157,GA,Fulton,Atlanta,Castleberry Hill,"Castleberry Hill, Atlanta"
158,GA,Fulton,Atlanta,Castlewood,"Castlewood, Atlanta"
159,GA,Fulton,Atlanta,Chalet Woods,"Chalet Woods, Atlanta"
160,GA,Fulton,Atlanta,East Ardley Road,"East Ardley Road, Atlanta"
161,GA,Fulton,Atlanta,East Chastain Park,"East Chastain Park, Atlanta"
162,GA,Fulton,Atlanta,Elmco Estates,"Elmco Estates, Atlanta"
163,GA,Fulton,Atlanta,Glenrose Heights,"Glenrose Heights, Atlanta"
